time,latitude,longitude,depth,mag,magType,rms,net,id,updated,place,type,status,locationSource,magSource
2019-05-25T06:27:40.611Z,23.2024,121.391,22.22,4.1,mb,0.84,us,us60003s0n,2019-05-25T06:47:23.040Z,"55km NNE of Taitung City, Taiwan",earthquake,reviewed,us,us
2019-05-25T06:20:46.492Z,35.3173,140.2952,30.38,5,mww,0.98,us,us60003s0e,2019-05-25T07:20:35.117Z,"10km NW of Ohara, Japan",earthquake,reviewed,us,us
2019-05-25T04:58:30.250Z,38.8241653,-122.8516693,2.1,2.87,md,0.05,nc,nc73186631,2019-05-25T07:04:03.394Z,"10km WNW of The Geysers, CA",earthquake,automatic,nc,nc
2019-05-25T04:58:18.620Z,38.8236656,-122.8525009,1.91,3.18,ml,0.04,nc,nc73186646,2019-05-25T05:33:04.828Z,"10km WNW of The Geysers, CA",earthquake,automatic,nc,nc
2019-05-25T03:29:01.289Z,49.2015,156.1553,35,4.8,mb,0.88,us,us60003rzd,2019-05-25T03:58:01.040Z,"164km S of Severo-Kuril'sk, Russia",earthquake,reviewed,us,us
2019-05-25T02:33:21.060Z,18.8211,-64.7838,33,2.67,md,0.48,pr,pr2019145003,2019-05-25T06:35:44.427Z,"48km NNW of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-25T00:59:32.570Z,19.0625,-67.6403,46,2.87,md,0.61,pr,pr2019145001,2019-05-25T06:35:22.819Z,"85km NW of San Antonio, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-25T00:56:51.806Z,56.8945,-154.696,37.7,2.9,ml,0.53,ak,ak0196nt9fon,2019-05-25T01:09:28.040Z,"83km SSW of Larsen Bay, Alaska",earthquake,automatic,ak,ak
2019-05-25T00:44:23.610Z,18.8263,-64.8211,43,3.11,md,0.37,pr,pr2019145000,2019-05-25T06:35:12.270Z,"50km NNW of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-24T23:14:22.080Z,18.8045,-64.8435,41,3.16,md,0.47,pr,pr2019144007,2019-05-25T06:35:01.299Z,"49km NNW of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-24T23:05:02.430Z,18.8805,-64.8141,32,2.73,md,0.45,pr,pr2019144006,2019-05-25T06:34:45.995Z,"55km NNW of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-24T22:52:48.056Z,57.2461,-154.287,31.5,2.7,ml,0.81,ak,ak0196misrdq,2019-05-24T22:58:18.600Z,"37km SSW of Larsen Bay, Alaska",earthquake,automatic,ak,ak
2019-05-24T22:47:28.470Z,57.026,-154.2297,28.6,2.5,ml,0.42,ak,ak0196mirn9r,2019-05-25T03:20:13.040Z,"59km SSW of Larsen Bay, Alaska",earthquake,automatic,ak,ak
2019-05-24T22:34:05.640Z,43.0555,47.1834,10,4.5,mb,0.81,us,us60003rxg,2019-05-25T00:41:31.040Z,"9km WNW of Korkmaskala, Russia",earthquake,reviewed,us,us
2019-05-24T22:30:29.120Z,19.0871,-64.4815,35,3.01,md,0.49,pr,pr2019144004,2019-05-24T23:04:16.040Z,"68km N of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-24T22:12:49.150Z,18.9301,-64.833,21,2.65,md,0.29,pr,pr2019144005,2019-05-24T23:23:50.625Z,"61km NNW of Road Town, British Virgin Islands",earthquake,reviewed,pr,pr
2019-05-24T22:09:19.402Z,-20.6288,169.8094,130.99,5,mb,0.73,us,us60003rxb,2019-05-24T22:27:38.040Z,"132km SSE of Isangel, Vanuatu",earthquake,reviewed,us,us
2019-05-24T21:23:35.105Z,13.8738,92.9593,10,5,mb,0.84,us,us60003rwt,2019-05-24T22:45:41.384Z,"241km N of Bamboo Flat, India",earthquake,reviewed,us,us
2019-05-24T21:17:58.622Z,37.8101,21.1012,10,4.3,mb,0.82,us,us60003rwq,2019-05-24T21:36:59.040Z,"4km SSW of Ayios Nikolaos, Greece",earthquake,reviewed,us,us
2019-05-24T20:15:59.216Z,-27.9196,-66.6127,147.56,5.2,mww,0.93,us,us60003rvz,2019-05-25T04:18:34.783Z,"47km SW of Andalgala, Argentina",earthquake,reviewed,us,us
2019-05-24T19:25:53.726Z,63.2658,-148.0274,65.3,2.6,ml,0.48,ak,ak0196mguonh,2019-05-24T19:38:16.530Z,"48km ESE of Cantwell, Alaska",earthquake,automatic,ak,ak
2019-05-24T17:40:28.410Z,19.1825,-68.9355,49,2.91,md,0.01,pr,pr2019144003,2019-05-24T18:38:32.362Z,"24km NNE of Miches, Dominican Republic",earthquake,reviewed,pr,pr
2019-05-24T17:31:39.650Z,53.6344,-163.4598,80.51,3.5,mb,0.88,us,us60003rtg,2019-05-24T19:59:32.040Z,"135km S of False Pass, Alaska",earthquake,reviewed,us,us
2019-05-24T17:05:40.910Z,19.8321667,-155.1913333,41.46,2.64,ml,0.14,hv,hv70967161,2019-05-24T19:14:52.610Z,"8km W of Pepeekeo, Hawaii",earthquake,reviewed,hv,hv
2019-05-24T16:46:44.521Z,48.6047,154.66,76.88,4.4,mb,1.12,us,us60003rt6,2019-05-24T19:01:21.040Z,"253km SSW of Severo-Kuril'sk, Russia",earthquake,reviewed,us,us
2019-05-24T16:12:45.106Z,7.0056,-77.5029,10,4.9,mb,1.16,us,us60003rpc,2019-05-24T17:36:36.751Z,"30km ESE of Jurado, Colombia",earthquake,reviewed,us,us
2019-05-24T13:16:18.610Z,21.1811667,-156.638,25.34,3.36,ml,0.1,hv,hv70966941,2019-05-24T23:58:09.740Z,"15km NE of Waialua, Hawaii",earthquake,reviewed,hv,hv
2019-05-24T12:51:50.120Z,19.55,-68.2116,89,3.15,md,0.63,pr,pr2019144002,2019-05-24T16:49:55.904Z,"107km NE of Miches, Dominican Republic",earthquake,reviewed,pr,pr
2019-05-24T10:06:09.475Z,61.736,-150.4069,9.1,2.5,ml,0.63,ak,ak0196mbdm5y,2019-05-24T10:10:57.229Z,"19km W of Willow, Alaska",earthquake,automatic,ak,ak
2019-05-24T09:36:17.984Z,-16.4691,178.0273,10,5.2,mb,0.87,us,us60003rlu,2019-05-24T20:37:34.289Z,"140km NNE of Lautoka, Fiji",earthquake,reviewed,us,us
2019-05-24T07:32:54.478Z,60.0601,-152.5717,96.9,2.7,ml,0.58,ak,ak0196m9qzct,2019-05-25T05:05:20.040Z,"48km SSE of Redoubt Volcano, Alaska",earthquake,automatic,ak,ak
2019-05-24T06:23:57.149Z,-21.8368,-68.5374,129.68,4,mb,0.7,us,us60003rkd,2019-05-25T05:02:37.040Z,"80km NNE of Calama, Chile",earthquake,reviewed,us,us
2019-05-24T06:16:17.143Z,-44.6693,-80.5131,10,4.9,mb,1.23,us,us60003rka,2019-05-24T15:19:00.040Z,"Off the coast of Aisen, Chile",earthquake,reviewed,us,us
2019-05-24T06:15:10.276Z,62.0604,-147.6762,28.4,2.5,ml,0.62,ak,ak0196m91t96,2019-05-25T05:22:37.040Z,"68km ENE of Sutton-Alpine, Alaska",earthquake,automatic,ak,ak
2019-05-24T03:40:17.116Z,36.0017,139.3324,111,4.6,mb,0.93,us,us60003rjg,2019-05-25T06:55:28.696Z,"7km NW of Sakado, Japan",earthquake,reviewed,us,us
2019-05-23T23:16:20.110Z,37.2713,-115.0363,14.3,2.6,ml,0.28,nn,nn00685652,2019-05-24T05:17:09.040Z,"15km SE of Alamo, Nevada",earthquake,automatic,nn,nn
2019-05-23T21:30:32.670Z,18.463,-66.4635,98,2.52,md,0.23,pr,pr2019143008,2019-05-24T05:13:40.040Z,"2km ESE of Tierras Nuevas Poniente, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-23T18:52:45.872Z,18.3772,-106.4698,10,4.5,mb,1.27,us,us60003rd3,2019-05-23T20:49:23.040Z,"208km WSW of San Patricio, Mexico",earthquake,reviewed,us,us
2019-05-23T15:56:41.298Z,-2.565,-12.2142,10,5.1,mb,0.61,us,us60003r8l,2019-05-24T16:46:36.040Z,North of Ascension Island,earthquake,reviewed,us,us
2019-05-23T15:51:45.981Z,59.4775,-152.8425,67.7,3.5,ml,0.67,ak,ak0196kr35pq,2019-05-24T15:05:40.040Z,"66km WSW of Anchor Point, Alaska",earthquake,automatic,ak,ak
2019-05-23T15:02:17.284Z,-21.6089,169.7702,10,5.7,mww,1.07,us,us60003r7u,2019-05-24T15:04:10.999Z,"195km E of Tadine, New Caledonia",earthquake,reviewed,us,us
2019-05-23T14:41:39.750Z,19.5081,-66.124,39,2.7,md,0.24,pr,pr2019143005,2019-05-23T17:18:24.855Z,"115km N of San Juan, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-23T14:30:10.990Z,18.9525,-68.1858,35,2.8,md,0.71,pr,pr2019143004,2019-05-23T17:18:12.871Z,"47km NNE of Punta Cana, Dominican Republic",earthquake,reviewed,pr,pr
2019-05-23T13:05:44.992Z,51.2074,-176.6844,53.38,3.9,mb,1.24,us,us60003r5l,2019-05-23T16:03:31.040Z,"74km S of Adak, Alaska",earthquake,reviewed,us,us
2019-05-23T12:34:34.318Z,-6.2244,142.3577,10,5.2,mb,1.11,us,us60003r5c,2019-05-24T05:51:21.810Z,"118km E of Kiunga, Papua New Guinea",earthquake,reviewed,us,us
2019-05-23T10:09:34.570Z,44.615,-110.3766667,4.86,2.46,ml,0.15,uu,uu60325682,2019-05-23T13:50:14.980Z,"39km ENE of Old Faithful Geyser, Wyoming",earthquake,reviewed,uu,uu
2019-05-23T09:53:48.233Z,38.396,-116.6339,14.8,4.2,ml,0.2631,nn,nn00685593,2019-05-24T14:55:35.444Z,"30km NW of Warm Springs, Nevada",earthquake,reviewed,nn,nn
2019-05-23T08:45:18.547Z,51.3631,-178.3306,27.79,6.1,mww,1.34,us,us60003r2r,2019-05-24T08:48:23.075Z,"55km ENE of Amatignak Island, Alaska",earthquake,reviewed,us,us
2019-05-23T07:03:23.630Z,19.0046,-66.7918,13,2.67,md,0.36,pr,pr2019143003,2019-05-23T11:47:02.550Z,"57km N of Hatillo, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-23T06:57:16.297Z,-34.6983,-178.3425,10,4.8,mb,0.68,us,us60003r1c,2019-05-23T07:21:46.040Z,South of the Kermadec Islands,earthquake,reviewed,us,us
2019-05-23T06:30:19.050Z,-13.8965,48.9282,10,4.7,mb,0.46,us,us60003r15,2019-05-23T07:00:28.040Z,"56km ESE of Ambanja, Madagascar",earthquake,reviewed,us,us
2019-05-23T06:12:49.109Z,24.0151,121.5603,16.23,4.7,mb,0.63,us,us60003r0x,2019-05-23T11:00:11.121Z,"6km NW of Hualian, Taiwan",earthquake,reviewed,us,us
2019-05-23T06:07:24.910Z,19.1768333,-155.4241667,39.17,2.73,ml,0.19,hv,hv70965156,2019-05-24T00:14:31.720Z,"6km ESE of Pahala, Hawaii",other event,reviewed,hv,hv
2019-05-23T05:20:48.462Z,52.1482,-170.843,35,4,mb,1.11,us,us60003r0e,2019-05-23T17:38:27.419Z,"47km SE of Amukta Island, Alaska",earthquake,reviewed,us,us
2019-05-23T05:16:46.108Z,60.1488,-136.8891,10,2.5,ml,1.11,us,us60003r0a,2019-05-23T06:06:31.040Z,"75km SSE of Haines Junction, Canada",earthquake,reviewed,us,us
2019-05-23T04:44:26.670Z,60.1822,-136.7519,6.8,3.5,ml,0.96,ak,ak0196kkhufq,2019-05-23T05:03:40.499Z,"75km SSE of Haines Junction, Canada",earthquake,automatic,ak,ak
2019-05-23T03:25:16.310Z,19.2078,-68.0965,7,3.13,md,0.86,pr,pr2019143002,2019-05-23T07:22:04.960Z,"76km NNE of Punta Cana, Dominican Republic",earthquake,reviewed,pr,pr
2019-05-23T02:13:01.520Z,18.0616,-65.6996,58,2.79,md,0.09,pr,pr2019143001,2019-05-23T22:30:22.109Z,"12km SSE of Punta Santiago, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-23T01:32:53.310Z,18.5911,-65.267,75,3.48,md,0.36,pr,pr2019143000,2019-05-23T02:19:41.040Z,"44km N of Culebra, Puerto Rico",earthquake,reviewed,pr,pr
2019-05-23T00:59:25.420Z,-34.7971,-71.8098,48.09,4.1,mwr,0.56,us,us60003qzn,2019-05-23T05:08:41.620Z,"44km WSW of Santa Cruz, Chile",earthquake,reviewed,us,us
2019-05-23T00:05:47.663Z,66.1922,-157.2606,11.9,2.8,ml,0.79,ak,ak0196khvssg,2019-05-24T03:15:52.040Z,"73km SSW of Kobuk, Alaska",earthquake,automatic,ak,ak
